STATE, AGE  ,SEX,RECIPIENTS
CT   , 13-17,M  ,      1967
CT   , 18-21,F  ,      1242
CT   , 18-21,M  ,      1855
CT   , 22-25,F  ,      1291
CT   , 22-25,M  ,      1552
CT   , 26-29,F  ,      1072
CT   , 26-29,M  ,      1269
CT   , 30-39,F  ,      2703
CT   , 30-39,M  ,      2292
CT   , 40-49,F  ,      4857
CT   , 40-49,M  ,      3365
CT   , 50-59,F  ,      6464
CT   , 50-59,M  ,      4441
CT   , 60-64,F  ,      2891
CT   , 60-64,M  ,      1610
CT   , 65-69,F  ,      2618
CT   , 65-69,M  ,      1165
CT   , 70-74,F  ,      2261
CT   , 70-74,M  ,       940
CT   , 75+  ,F  ,      4767
CT   , 75+  ,M  ,      1624
DC   ,  <05 ,F  ,       288
DC   ,  <05 ,M  ,       313
DC   , 05-12,F  ,       606
DC   , 05-12,M  ,      1288
DC   , 13-17,F  ,       649
DC   , 13-17,M  ,      1247
DC   , 18-21,F  ,       577
DC   , 18-21,M  ,       964
DC   , 22-25,F  ,       471
DC   , 22-25,M  ,       599
DC   , 26-29,F  ,       359
DC   , 26-29,M  ,       399
DC   , 30-39,F  ,       817
DC   , 30-39,M  ,       838
DC   , 40-49,F  ,      1858
DC   , 40-49,M  ,      1428
DC   , 50-59,F  ,      2866
DC   , 50-59,M  ,      2639
DC   , 60-64,F  ,       992
DC   , 60-64,M  ,       984
DC   , 65-69,F  ,       793
DC   , 65-69,M  ,       594
DC   , 70-74,F  ,       638
DC   , 70-74,M  ,       366
DC   , 75+  ,F  ,      1399
DC   , 75+  ,M  ,       399
DE   ,  <05 ,F  ,       238
DE   ,  <05 ,M  ,       280
DE   , 05-12,F  ,       547
DE   , 05-12,M  ,      1227
DE   , 13-17,F  ,       404
DE   , 13-17,M  ,       930
DE   , 18-21,F  ,       389
DE   , 18-21,M  ,       656
DE   , 22-25,F  ,       380
DE   , 22-25,M  ,       425
DE   , 26-29,F  ,       335
DE   , 26-29,M  ,       350
DE   , 30-39,F  ,       709
DE   , 30-39,M  ,       597
DE   , 40-49,F  ,      1274
DE   , 40-49,M  ,       795
DE   , 50-59,F  ,      1730
DE   , 50-59,M  ,      1043
DE   , 60-64,F  ,       627
DE   , 60-64,M  ,       312
DE   , 65-69,F  ,       543
DE   , 65-69,M  ,       237
DE   , 70-74,F  ,       458
DE   , 70-74,M  ,       172
DE   , 75+  ,F  ,       873
DE   , 75+  ,M  ,       273
FL   ,  <05 ,F  ,      5760
FL   ,  <05 ,M  ,      8372
FL   , 05-12,F  ,     14125
FL   , 05-12,M  ,     31938
FL   , 13-17,F  ,     10565
FL   , 13-17,M  ,     22168
FL   , 18-21,F  ,      8380
FL   , 18-21,M  ,     13097
