SSA REGION   ,DIAG. GROUP,AGE  ,SEX,RECIPIENTS
Atlanta      ,NERVOUS    , <18 ,M  ,     12751
Atlanta      ,NERVOUS    ,18-39,F  ,     18085
Atlanta      ,NERVOUS    ,18-39,M  ,     18287
Atlanta      ,NERVOUS    ,40-64,F  ,     22841
Atlanta      ,NERVOUS    ,40-64,M  ,     16009
Atlanta      ,ORGANIC    , <18 ,F  ,      2137
Atlanta      ,ORGANIC    , <18 ,M  ,      4517
Atlanta      ,ORGANIC    ,18-39,F  ,      6666
Atlanta      ,ORGANIC    ,18-39,M  ,     11215
Atlanta      ,ORGANIC    ,40-64,F  ,     12814
Atlanta      ,ORGANIC    ,40-64,M  ,     14815
Atlanta      ,OTHER      , <18 ,F  ,     14481
Atlanta      ,OTHER      , <18 ,M  ,     17768
Atlanta      ,OTHER      ,18-39,F  ,       813
Atlanta      ,OTHER      ,18-39,M  ,      1210
Atlanta      ,OTHER      ,40-64,F  ,       517
Atlanta      ,OTHER      ,40-64,M  ,       356
Atlanta      ,RESPIR     , <18 ,F  ,      4340
Atlanta      ,RESPIR     , <18 ,M  ,      7451
Atlanta      ,RESPIR     ,18-39,F  ,      1502
Atlanta      ,RESPIR     ,18-39,M  ,      1017
Atlanta      ,RESPIR     ,40-64,F  ,     14574
Atlanta      ,RESPIR     ,40-64,M  ,      7711
Atlanta      ,SCHIZO     , <18 ,F  ,       367
Atlanta      ,SCHIZO     , <18 ,M  ,       560
Atlanta      ,SCHIZO     ,18-39,F  ,      8318
Atlanta      ,SCHIZO     ,18-39,M  ,     18897
Atlanta      ,SCHIZO     ,40-64,F  ,     25536
Atlanta      ,SCHIZO     ,40-64,M  ,     26884
Atlanta      ,SKIN       , <18 ,F  ,       424
Atlanta      ,SKIN       , <18 ,M  ,       377
Atlanta      ,SKIN       ,18-39,F  ,       378
Atlanta      ,SKIN       ,18-39,M  ,       198
Atlanta      ,SKIN       ,40-64,F  ,       895
Atlanta      ,SKIN       ,40-64,M  ,       441
Atlanta      ,UNKNOWN    , <18 ,F  ,      3389
Atlanta      ,UNKNOWN    , <18 ,M  ,      5156
Atlanta      ,UNKNOWN    ,18-39,F  ,      2690
Atlanta      ,UNKNOWN    ,18-39,M  ,      2760
Atlanta      ,UNKNOWN    ,40-64,F  ,     18738
Atlanta      ,UNKNOWN    ,40-64,M  ,     13673
Boston       ,AUTISTIC   , <18 ,F  ,      1019
Boston       ,AUTISTIC   , <18 ,M  ,      4538
Boston       ,AUTISTIC   ,18-39,F  ,       830
Boston       ,AUTISTIC   ,18-39,M  ,      3187
Boston       ,AUTISTIC   ,40-64,F  ,        45
Boston       ,AUTISTIC   ,40-64,M  ,       105
Boston       ,BLOOD      , <18 ,F  ,       153
Boston       ,BLOOD      , <18 ,M  ,       186
Boston       ,BLOOD      ,18-39,F  ,       151
Boston       ,BLOOD      ,18-39,M  ,       152
Boston       ,BLOOD      ,40-64,F  ,       112
Boston       ,BLOOD      ,40-64,M  ,        62
Boston       ,CHILDHOOD  , <18 ,F  ,      1549
Boston       ,CHILDHOOD  , <18 ,M  ,      6175
Boston       ,CHILDHOOD  ,18-39,F  ,       536
Boston       ,CHILDHOOD  ,18-39,M  ,      1813
Boston       ,CHILDHOOD  ,40-64,F  ,        72
Boston       ,CHILDHOOD  ,40-64,M  ,        63
Boston       ,CIRCUL     , <18 ,F  ,        66
Boston       ,CIRCUL     , <18 ,M  ,        76
Boston       ,CIRCUL     ,18-39,F  ,       238
Boston       ,CIRCUL     ,18-39,M  ,       236
Boston       ,CIRCUL     ,40-64,F  ,      2552
Boston       ,CIRCUL     ,40-64,M  ,      2740
Boston       ,CONGEN     , <18 ,F  ,       980
Boston       ,CONGEN     , <18 ,M  ,      1082
Boston       ,CONGEN     ,18-39,F  ,       591
Boston       ,CONGEN     ,18-39,M  ,       588
Boston       ,CONGEN     ,40-64,F  ,       164
Boston       ,CONGEN     ,40-64,M  ,       107
Boston       ,DEVELOP    , <18 ,F  ,      2421
Boston       ,DEVELOP    , <18 ,M  ,      5555
Boston       ,DEVELOP    ,18-39,F  ,       625
Boston       ,DEVELOP    ,18-39,M  ,       984
Boston       ,DEVELOP    ,40-64,F  ,        98
Boston       ,DEVELOP    ,40-64,M  ,       130
Boston       ,DIGEST     , <18 ,F  ,       154
Boston       ,DIGEST     , <18 ,M  ,       172
